Name,State,Profits,Revenues,Latitude,Longitude
Walmart,Arkansas,6670.0,514405.0,34.7519275,-92.1313784
Exxon Mobil,Texas,20840.0,290212.0,31.1693363,-100.0768425
Apple,California,59531.0,265595.0,37.2718745,-119.2704153
Berkshire Hathaway,Nebraska,4021.0,247837.0,41.5008195,-99.680902
Amazon,Washington,10073.0,232887.0,38.8993487,-77.0145665
UnitedHealth Group,Minnesota,11986.0,226247.0,46.4418595,-93.3655146
McKesson,Texas,34.0,214319.0,31.1693363,-100.0768425
CVS Health,Rhode Island,-594.0,194579.0,41.5827282,-71.5064508
AT&T,Texas,19370.0,170756.0,31.1693363,-100.0768425
AmerisourceBergen,Pennsylvania,1658.4,167939.6,40.9945928,-77.6046984
Chevron,California,14824.0,166339.0,37.2718745,-119.2704153
Ford Motor,Michigan,3677.0,160338.0,44.9435598,-86.4158049
General Motors,Michigan,8014.0,147049.0,44.9435598,-86.4158049
Costco Wholesale,Washington,3134.0,141576.0,38.8993487,-77.0145665
Alphabet,California,30736.0,136819.0,37.2718745,-119.2704153
Cardinal Health,Ohio,256.0,136809.0,40.1903624,-82.6692525
Walgreens Boots Alliance,Illinois,5024.0,131537.0,39.739318,-89.504139
JPMorgan Chase & Co.,New York,32474.0,131412.0,40.7056258,-73.97968
Verizon Communications,New York,15528.0,130863.0,40.7056258,-73.97968
Kroger,Ohio,3110.0,121162.0,40.1903624,-82.6692525
General Electric,Massachusetts,-22355.0,120268.0,42.0629398,-71.718067
Fannie Mae,District Of Columbia,15959.0,120101.0,38.8993487,-77.0145666
Phillips 66,Texas,5595.0,114217.0,31.1693363,-100.0768425
Valero Energy,Texas,3122.0,111407.0,31.1693363,-100.0768425
Bank of America Corp.,North Carolina,28147.0,110584.0,35.2145629,-79.8912675
Microsoft,Washington,16571.0,110360.0,38.8993487,-77.0145665
Home Depot,Georgia,11121.0,108203.0,32.6781248,-83.2229757
Boeing,Illinois,10460.0,101127.0,39.739318,-89.504139
Wells Fargo,California,22393.0,101060.0,37.2718745,-119.2704153
Citigroup,New York,18045.0,97120.0,40.7056258,-73.97968
Marathon Petroleum,Ohio,2780.0,97102.0,40.1903624,-82.6692525
Comcast,Pennsylvania,11731.0,94507.0,40.9945928,-77.6046984
Anthem,Indiana,3750.0,92105.0,39.7662195,-86.441277
Dell Technologies,Texas,-2310.0,90621.0,31.1693363,-100.0768425
DuPont,Delaware,3844.0,85977.0,39.145251,-75.4189206
State Farm Insurance Cos.,Illinois,8788.4,81732.2,39.739318,-89.504139
Johnson & Johnson,New Jersey,15297.0,81581.0,40.1430058,-74.7311156
International Business Machines,New York,8728.0,79591.0,40.7056258,-73.97968
Target,Minnesota,2937.0,75356.0,46.4418595,-93.3655146
Freddie Mac,Virginia,9235.0,73598.0,38.0033855,-79.4587861
United Parcel Service,Georgia,4791.0,71861.0,32.6781248,-83.2229757
Lowe's,North Carolina,2314.0,71309.0,35.2145629,-79.8912675
Intel,California,21053.0,70848.0,37.2718745,-119.2704153
U.S. Postal Service,District Of Columbia,-3913.0,70660.0,38.8993487,-77.0145666
MetLife,New York,5123.0,67941.0,40.7056258,-73.97968
Procter & Gamble,Ohio,9750.0,66832.0,40.1903624,-82.6692525
United Technologies,Connecticut,5269.0,66501.0,41.5187835,-72.757507
FedEx,Tennessee,4572.0,65450.0,35.830521,-85.9785989
PepsiCo,New York,12515.0,64661.0,40.7056258,-73.97968
Archer Daniels Midland,Illinois,1810.0,64341.0,39.739318,-89.504139
Prudential Financial,New Jersey,4074.0,62992.0,40.1430058,-74.7311156
Albertsons Cos.,Idaho,131.1,60534.5,45.4945756,-114.1424303
Centene,Missouri,900.0,60116.0,38.3046615,-92.437099
Walt Disney,California,12598.0,59434.0,37.2718745,-119.2704153
Sysco,Texas,1430.8,58727.3,31.1693363,-100.0768425
HP,California,5327.0,58472.0,37.2718745,-119.2704153
Humana,Kentucky,1683.0,56912.0,37.8222935,-85.7682399
Facebook,California,22112.0,55838.0,37.2718745,-119.2704153
Caterpillar,Illinois,6147.0,54722.0,39.739318,-89.504139
Energy Transfer,Texas,1694.0,54436.0,31.1693363,-100.0768425
Lockheed Martin,Maryland,5046.0,53762.0,38.8063524,-77.2684162
Pfizer,New York,11153.0,53647.0,40.7056258,-73.97968
Goldman Sachs Group,New York,10459.0,52528.0,40.7056258,-73.97968
Morgan Stanley,New York,8748.0,50193.0,40.7056258,-73.97968
Cisco Systems,California,110.0,49330.0,37.2718745,-119.2704153
Cigna,Connecticut,2637.0,48650.0,41.5187835,-72.757507
American International Group,New York,-6.0,47389.0,40.7056258,-73.97968
HCA Healthcare,Tennessee,3787.0,46677.0,35.830521,-85.9785989
Bunge,New York,267.0,45743.0,40.7056258,-73.97968
American Airlines Group,Texas,1412.0,44541.0,31.1693363,-100.0768425
Delta Air Lines,Georgia,3935.0,44438.0,32.6781248,-83.2229757
Charter Communications,Connecticut,1230.0,43634.0,41.5187835,-72.757507
New York Life Insurance,New York,880.0,43425.3,40.7056258,-73.97968
American Express,New York,6921.0,43281.0,40.7056258,-73.97968
Nationwide,Ohio,512.6,43270.0,40.1903624,-82.6692525
Best Buy,Minnesota,1464.0,42879.0,46.4418595,-93.3655146
Liberty Mutual Insurance Group,Massachusetts,2160.0,42685.0,42.0629398,-71.718067
Merck,New Jersey,6220.0,42294.0,40.1430058,-74.7311156
Honeywell International,New Jersey,6765.0,41802.0,40.1430058,-74.7311156
United Airlines Holdings,Illinois,2129.0,41303.0,39.739318,-89.504139
TIAA,New York,1560.5,41052.1,40.7056258,-73.97968
Tyson Foods,Arkansas,3024.0,40052.0,34.7519275,-92.1313784
Oracle,California,3825.0,39831.0,37.2718745,-119.2704153
Allstate,Illinois,2252.0,39815.0,39.739318,-89.504139
World Fuel Services,Florida,127.7,39750.3,27.9757279,-83.8330166
Massachusetts Mutual Life Insurance,Massachusetts,397.9,39267.2,42.0629398,-71.718067
TJX,Massachusetts,3059.8,38972.9,42.0629398,-71.718067
ConocoPhillips,Texas,6257.0,38727.0,31.1693363,-100.0768425
Deere,Illinois,2368.4,37357.7,39.739318,-89.504139
Tech Data,Florida,340.6,37239.0,27.9757279,-83.8330166
Enterprise Products Partners,Texas,4172.4,36534.2,31.1693363,-100.0768425
Nike,Oregon,1933.0,36397.0,44.1419049,-120.5380993
Publix Super Markets,Florida,2381.2,36395.7,27.9757279,-83.8330166
General Dynamics,Virginia,3345.0,36193.0,38.0033855,-79.4587861
Exelon,Illinois,2010.0,35985.0,39.739318,-89.504139
Plains GP Holdings,Texas,334.0,34055.0,31.1693363,-100.0768425
Schlumberger,Texas,2138.0,32815.0,31.1693363,-100.0768425
3M,Minnesota,5349.0,32765.0,46.4418595,-93.3655146
AbbVie,Illinois,5687.0,32753.0,39.739318,-89.504139
CHS,Minnesota,775.9,32683.3,46.4418595,-93.3655146
Capital One Financial,Virginia,6015.0,32377.0,38.0033855,-79.4587861
Progressive,Ohio,2615.3,31979.0,40.1903624,-82.6692525
Coca-Cola,Georgia,6434.0,31856.0,32.6781248,-83.2229757
USAA,Texas,2291.9,31367.8,31.1693363,-100.0768425
Hewlett Packard Enterprise,California,1908.0,30852.0,37.2718745,-119.2704153
Abbott Laboratories,Illinois,2368.0,30578.0,39.739318,-89.504139
Micron Technology,Idaho,14135.0,30391.0,45.4945756,-114.1424303
Travelers Cos.,New York,2523.0,30282.0,40.7056258,-73.97968
Northrop Grumman,Virginia,3229.0,30095.0,38.0033855,-79.4587861
Arrow Electronics,Colorado,716.2,29676.8,38.9979339,-105.550567
Philip Morris International,New York,7911.0,29625.0,40.7056258,-73.97968
Northwestern Mutual,Wisconsin,783.0,29124.0,44.7862968,-89.8267049
INTL FCStone,New York,55.5,27622.7,40.7056258,-73.97968
PBF Energy,New Jersey,128.3,27186.1,40.1430058,-74.7311156
Raytheon,Massachusetts,2909.0,27058.0,42.0629398,-71.718067
Kraft Heinz,Pennsylvania,-10192.0,26268.0,40.9945928,-77.6046984
Mondelez International,Illinois,3381.0,25938.0,39.739318,-89.504139
U.S. Bancorp,Minnesota,7096.0,25775.0,46.4418595,-93.3655146
Macy's,Ohio,1108.0,25739.0,40.1903624,-82.6692525
Dollar General,Tennessee,1589.5,25625.0,35.830521,-85.9785989
Nucor,North Carolina,2360.8,25067.3,35.2145629,-79.8912675
Walmart,Arkansas,14881.0,523964.0,34.7519275,-92.1313784
Amazon,Washington,11588.0,280522.0,38.8993487,-77.0145665
Exxon Mobil,Texas,14340.0,264938.0,31.1693363,-100.0768425
Apple,California,55256.0,260174.0,37.2718745,-119.2704153
CVS Health,Rhode Island,6634.0,256776.0,41.5827282,-71.5064508
Berkshire Hathaway,Nebraska,81417.0,254616.0,41.5008195,-99.680902
UnitedHealth Group,Minnesota,13839.0,242155.0,46.4418595,-93.3655146
McKesson,Texas,900.0,231051.0,31.1693363,-100.0768425
AT&T,Texas,13903.0,181193.0,31.1693363,-100.0768425
AmerisourceBergen,Pennsylvania,855.4,179589.0,40.9945928,-77.6046984
Alphabet,California,34343.0,161857.0,37.2718745,-119.2704153
Ford Motor,Michigan,47.0,155900.0,44.9435598,-86.4158049
Cigna,Connecticut,5104.0,153566.0,41.5187835,-72.757507
Costco Wholesale,Washington,3659.0,152703.0,38.8993487,-77.0145665
